Italian          ,English,Part of Speech,IPA Pronunciation,Gender,Context,Synonyms,Example Sentence,Example Sentence English,Category,Deck Name,Deck GUID,Note GUID
linguaggio,language (formal),noun,/liŋˈɡwaddʒo/,masculine,The system of communication used by people; more formal than lingua,N/A,Il linguaggio del libro è facile e lo studente capisce ogni frase.,The language of the book is easy and the student understands every sentence.,Education,Italian::A1::Vocab::Education,307004269861,1044581896386
lontano,far; far away,adjective,/lonˈtano/,N/A,Describes something at a great distance; opposite of 'vicino',distante,La fattoria è lontano dalla città e devo guidare l'auto per arrivare.,The farm is far from the city and I must drive the car to arrive.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,617985513815
luce,light,noun,/ˈlutʃe/,feminine,The natural or artificial brightness that lets us see,N/A,La luce del sole entra dalla finestra della camera la mattina.,The sunlight enters through the bedroom window in the morning.,Home,Italian::A1::Vocab::Home,692027528045,559106375313
luglio,July,noun,/ˈluʎʎo/,masculine,The seventh month of the year; a summer month,N/A,In luglio fa molto caldo e la gente va al mare.,In July it is very hot and people go to the sea.,Time,Italian::A1::Vocab::Time,781073502550,446847182709
lunedì,Monday,noun,/luneˈdi/,masculine,The first day of the working week,N/A,Lunedì comincio a lavorare presto e prendo l'autobus alle sette.,On Monday I start working early and take the bus at seven.,Time,Italian::A1::Vocab::Time,781073502550,415425944984
lungo,long,adjective,/ˈluŋɡo/,N/A,Describes something of great length; opposite of 'corto',N/A,Il fiume è molto lungo e passa vicino a molte città belle.,The river is very long and passes near many beautiful cities.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,155022752860
macchina,car; machine,noun,/ˈmakkina/,feminine,A motor vehicle; also any mechanical device,auto; automobile,Guido la macchina per andare al lavoro nella città ogni mattina.,I drive the car to go to work in the city every morning.,Transportation,Italian::A1::Vocab::Transportation,845656063355,1086648971250
macchina fotografica,camera,noun,/ˈmakkina fotoˈɡrafika/,feminine,A device for taking photographs,fotocamera,Porto la macchina fotografica per fare le foto belle in vacanza.,I bring the camera to take beautiful photos on vacation.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,300299642834
madre,mother,noun,/ˈmadre/,feminine,A female parent,mamma,Mia madre cucina la cena per la famiglia nella cucina ogni sera.,My mother cooks dinner for the family in the kitchen every evening.,People,Italian::A1::Vocab::People,1054905778847,484906790414
maggio,May,noun,/ˈmaddʒo/,masculine,The fifth month of the year; a spring month,N/A,In maggio i fiori sono belli e il giardino ha molti colori.,In May the flowers are beautiful and the garden has many colors.,Time,Italian::A1::Vocab::Time,781073502550,234979556421
maglietta,t-shirt,noun,/maʎˈʎetta/,feminine,A casual short-sleeved top,N/A,Indosso una maglietta gialla e i jeans per uscire con gli amici.,I wear a yellow t-shirt and jeans to go out with friends.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,842007401795
magro,thin; slim,adjective,/ˈmaɡro/,N/A,Describes a person with little body fat; opposite of 'grasso',snello; esile,Il ragazzo è alto e magro e corre nel parco ogni mattina.,The boy is tall and thin and runs in the park every morning.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,439747514899
mai,never; ever,adverb,/ˈmai/,N/A,Indicates something that does not happen at any time,N/A,Non vado mai al cinema da solo perché preferisco stare con amici.,I never go to the cinema alone because I prefer to be with friends.,Common Words,Italian::A1::Vocab::Common Words,536995933597,1165093000
maiale,pig,noun,/maˈjale/,masculine,A farm animal raised for meat,porco,Il maiale è un animale grande che vive nella fattoria in campagna.,The pig is a big animal that lives on the farm in the countryside.,Animals,Italian::A1::Vocab::Animals,209387501967,769445212867
male,badly; pain,adverb,/ˈmale/,N/A,Indicates something done poorly; also means pain or ache,N/A,Mi fa male la testa e non posso studiare bene oggi.,My head hurts and I cannot study well today.,Common Words,Italian::A1::Vocab::Common Words,536995933597,653856512427
mamma,mom; mum,noun,/ˈmamma/,feminine,An informal word for mother,madre,La mamma prepara la colazione per il bambino ogni mattina presto.,Mom prepares breakfast for the child every morning early.,People,Italian::A1::Vocab::People,1054905778847,851236087154
mano,hand,noun,/ˈmano/,feminine,The part of the body at the end of the arm,N/A,Scrivo con la mano destra e tengo il libro con la sinistra.,I write with the right hand and hold the book with the left.,Body,Italian::A1::Vocab::Body,315135916940,36737883006
mare,sea,noun,/ˈmare/,masculine,A large body of salt water; the ocean,oceano,In estate andiamo al mare e nuotiamo nell'acqua azzurra e bella.,In summer we go to the sea and swim in the beautiful blue water.,Nature,Italian::A1::Vocab::Nature,674825577948,42667459523
marito,husband,noun,/maˈrito/,masculine,A married man in relation to his wife,sposo,Il marito e la moglie cenano insieme al ristorante ogni venerdì.,The husband and wife have dinner together at the restaurant every Friday.,People,Italian::A1::Vocab::People,1054905778847,327916845537
marrone,brown,adjective,/marˈrone/,N/A,A dark color like chocolate or wood,N/A,Le scarpe marrone sono belle e le indosso per andare al lavoro.,The brown shoes are nice and I wear them to go to work.,Colors,Italian::A1::Vocab::Colors,673869190564,612104364647
martedì,Tuesday,noun,/marteˈdi/,masculine,The second day of the working week,N/A,Martedì vado alla lezione di italiano con l'insegnante alle dieci.,On Tuesday I go to the Italian lesson with the teacher at ten.,Time,Italian::A1::Vocab::Time,781073502550,126079897511
marzo,March,noun,/ˈmartso/,masculine,The third month of the year; the start of spring,N/A,In marzo comincia la primavera e i fiori crescono nel giardino.,In March spring begins and the flowers grow in the garden.,Time,Italian::A1::Vocab::Time,781073502550,507801256191
maschio,male,noun,/ˈmaskjo/,masculine,A person or animal of the male sex,uomo,Il bambino è un maschio e sua sorella è una femmina.,The child is a male and his sister is a female.,People,Italian::A1::Vocab::People,1054905778847,914129093866
matita,pencil,noun,/maˈtita/,feminine,A writing tool made of wood with graphite inside,N/A,Lo studente scrive con la matita sul quaderno durante la lezione.,The student writes with the pencil in the notebook during the lesson.,Education,Italian::A1::Vocab::Education,307004269861,478800548708
mattina,morning,noun,/matˈtina/,feminine,The early part of the day from dawn to noon,N/A,Ogni mattina mi sveglio presto e faccio colazione a casa.,Every morning I wake up early and have breakfast at home.,Time,Italian::A1::Vocab::Time,781073502550,180392081204
mattino,morning (formal),noun,/matˈtino/,masculine,The early part of the day; more formal than 'mattina',mattina,Il mattino è il momento migliore per studiare e leggere il libro.,The morning is the best time to study and read the book.,Time,Italian::A1::Vocab::Time,781073502550,123411328263
medico,doctor; physician,noun,/ˈmɛdiko/,masculine,A medical professional; more formal than 'dottore',dottore,Il medico lavora all'ospedale e aiuta la gente malata ogni giorno.,The doctor works at the hospital and helps sick people every day.,People,Italian::A1::Vocab::People,1054905778847,962890880867
mela,apple,noun,/ˈmela/,feminine,"A round fruit that can be red, green, or yellow",N/A,Mangio una mela rossa ogni mattina con la colazione a casa.,I eat a red apple every morning with breakfast at home.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,336931661217
mercoledì,Wednesday,noun,/merkoˈledi/,masculine,The third day of the working week,N/A,Mercoledì ho l'esame di italiano e devo studiare molto bene.,On Wednesday I have the Italian exam and I must study very well.,Time,Italian::A1::Vocab::Time,781073502550,616962848396
mese,month,noun,/ˈmeze/,masculine,A period of about four weeks; one twelfth of a year,N/A,Questo mese studio molto perché ho un esame difficile all'università.,This month I study a lot because I have a difficult exam at the university.,Time,Italian::A1::Vocab::Time,781073502550,506224282522
messaggio,message,noun,/mesˈsaddʒo/,masculine,A piece of written or spoken communication,N/A,Scrivo un messaggio all'amico con il cellulare per invitare alla festa.,I write a message to my friend with the cell phone to invite to the party.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,956706039801
metà,half,noun,/meˈta/,feminine,One of two equal parts of something,N/A,Mangio metà della pizza e do l'altra metà al mio amico.,I eat half of the pizza and give the other half to my friend.,Common Words,Italian::A1::Vocab::Common Words,536995933597,138173454337
mi dispiace,I'm sorry,interjection,/mi disˈpjatʃe/,N/A,An expression of apology or sympathy,scusa,Mi dispiace molto ma non posso venire alla festa domani sera.,I am very sorry but I cannot come to the party tomorrow evening.,Greetings,Italian::A1::Vocab::Greetings,1034816950214,830028911437
migliore,better; best,adjective,/miʎˈʎore/,N/A,Describes something superior in quality; comparative of 'buono',N/A,Questo ristorante è il migliore della città per la pasta buona.,This restaurant is the best in the city for good pasta.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,945751371111
minuto,minute,noun,/miˈnuto/,masculine,A unit of time equal to sixty seconds,N/A,Aspetta cinque minuti per favore e poi andiamo al bar insieme.,Wait five minutes please and then we go to the bar together.,Time,Italian::A1::Vocab::Time,781073502550,208996798059
moglie,wife,noun,/ˈmoʎʎe/,feminine,A married woman in relation to her husband,sposa,La moglie e il marito cucinano la cena insieme nella cucina.,The wife and husband cook dinner together in the kitchen.,People,Italian::A1::Vocab::People,1054905778847,769565867737
molto,very; a lot,adverb,/ˈmolto/,N/A,Used to intensify adjectives or indicate a large amount,tanto,Il caffè è molto buono al bar e lo bevo ogni mattina.,The coffee is very good at the bar and I drink it every morning.,Common Words,Italian::A1::Vocab::Common Words,536995933597,15100315903
mondo,world,noun,/ˈmondo/,masculine,The earth and all its countries and people,N/A,Voglio viaggiare per il mondo e visitare molte nazioni belle.,I want to travel around the world and visit many beautiful nations.,Nature,Italian::A1::Vocab::Nature,674825577948,746796002674
montagna,mountain,noun,/monˈtaɲɲa/,feminine,A large natural elevation of land; higher than a hill,monte,In inverno andiamo in montagna e vediamo la neve bianca bella.,In winter we go to the mountain and see the beautiful white snow.,Nature,Italian::A1::Vocab::Nature,674825577948,208885869146
mucca,cow,noun,/ˈmukka/,feminine,A female bovine animal that produces milk,vacca,La mucca vive nella fattoria e ci dà il latte ogni giorno.,The cow lives on the farm and gives us milk every day.,Animals,Italian::A1::Vocab::Animals,209387501967,330300083008
muro,wall,noun,/ˈmuro/,masculine,A vertical structure that divides or encloses a space,parete,C'è un'immagine bella sul muro della camera da letto di casa.,There is a beautiful picture on the wall of the bedroom at home.,Home,Italian::A1::Vocab::Home,692027528045,696092513654
museo,museum,noun,/muˈzɛo/,masculine,A building where art or historical objects are displayed,N/A,Visitiamo il museo nella città per vedere le immagini e le foto.,We visit the museum in the city to see the pictures and photos.,Places,Italian::A1::Vocab::Places,439811229925,158417432293
musica,music,noun,/ˈmuzika/,feminine,The art of combining sounds; songs and melodies,N/A,Ascolto la musica e mi piace cantare le canzoni italiane belle.,I listen to music and I like to sing the beautiful Italian songs.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,672226588446
naso,nose,noun,/ˈnazo/,masculine,The part of the face used for breathing and smelling,N/A,Il bambino ha il naso piccolo e gli occhi grandi e azzurri.,The child has a small nose and big blue eyes.,Body,Italian::A1::Vocab::Body,315135916940,229030974703
Natale,Christmas,noun,/naˈtale/,masculine,A holiday celebrated on December 25th,N/A,A Natale la famiglia mangia insieme e apre i regali a casa.,At Christmas the family eats together and opens the gifts at home.,Time,Italian::A1::Vocab::Time,781073502550,741024850209
nazionalità,nationality,noun,/nattsjonaliˈta/,feminine,The status of belonging to a particular nation,N/A,La mia nazionalità è italiana e abito in una bella città.,My nationality is Italian and I live in a beautiful city.,People,Italian::A1::Vocab::People,1054905778847,808954527864
nazione,nation; country,noun,/natˈtsjone/,feminine,A country with its own government and borders,paese; stato,L'Italia è una nazione bella con molte città famose nel mondo.,Italy is a beautiful nation with many famous cities in the world.,Places,Italian::A1::Vocab::Places,439811229925,507019060305
negozio,shop; store,noun,/neˈɡɔttsjo/,masculine,A place where goods are sold to the public,bottega,Vado al negozio per comprare la frutta e il pane per casa.,I go to the shop to buy fruit and bread for home.,Places,Italian::A1::Vocab::Places,439811229925,555166166086
neonato,newborn; baby,noun,/neoˈnato/,masculine,A very young child; a recently born infant,bebè,Il neonato dorme nel letto e la mamma lo guarda con amore.,The newborn sleeps in the bed and the mom watches him with love.,People,Italian::A1::Vocab::People,1054905778847,694686900474
nero,black,adjective,/ˈnero/,N/A,The darkest color; the color of night,N/A,Il gatto nero dorme sulla sedia vicino alla finestra di casa.,The black cat sleeps on the chair near the window at home.,Colors,Italian::A1::Vocab::Colors,673869190564,373799259172
nessuno,nobody; no one,pronoun,/nesˈsuno/,N/A,Refers to not a single person,N/A,Nessuno vuole uscire stasera perché fuori fa freddo e piove molto.,Nobody wants to go out tonight because outside it is cold and it rains a lot.,Common Words,Italian::A1::Vocab::Common Words,536995933597,771637888668
neve,snow,noun,/ˈneve/,feminine,Frozen white water that falls from the sky in winter,N/A,In inverno la neve cade sulla montagna e tutto è bianco.,In winter the snow falls on the mountain and everything is white.,Nature,Italian::A1::Vocab::Nature,674825577948,948793320366
niente,nothing,pronoun,/ˈnjɛnte/,N/A,Not anything; the absence of something,nulla,Non ho niente da fare adesso e sono un po' annoiato.,I have nothing to do now and I am a bit bored.,Common Words,Italian::A1::Vocab::Common Words,536995933597,1013026231372
noioso,boring,adjective,/noˈjozo/,N/A,Describes something dull and not interesting,tedioso,Il film è molto noioso e preferisco leggere un libro interessante.,The movie is very boring and I prefer to read an interesting book.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,976198148371
nome,name; first name,noun,/ˈnome/,masculine,The word by which a person is called,N/A,Il mio nome è Marco e il mio cognome è Rossi.,My name is Marco and my surname is Rossi.,People,Italian::A1::Vocab::People,1054905778847,762687344422
notte,night,noun,/ˈnɔtte/,feminine,The dark period between evening and morning,N/A,La notte è bella e guardo le stelle dalla finestra della camera.,The night is beautiful and I look at the stars from the bedroom window.,Time,Italian::A1::Vocab::Time,781073502550,244619659518
nove,nine,numeral,/ˈnɔve/,N/A,The number nine,N/A,La lezione comincia alle nove di mattina ogni lunedì e mercoledì.,The lesson starts at nine in the morning every Monday and Wednesday.,Numbers,Italian::A1::Vocab::Numbers,381389947441,930889335386
novembre,November,noun,/noˈvɛmbre/,masculine,The eleventh month of the year; an autumn month,N/A,In novembre fa freddo e le foglie cadono dagli alberi nel parco.,In November it is cold and the leaves fall from the trees in the park.,Time,Italian::A1::Vocab::Time,781073502550,167972858584
numero,number,noun,/ˈnumero/,masculine,A mathematical value; also a phone or house number,cifra,Qual è il tuo numero di telefono? Voglio telefonare domani mattina.,What is your phone number? I want to call tomorrow morning.,Education,Italian::A1::Vocab::Education,307004269861,320542646610
nuovo,new,adjective,/ˈnwɔvo/,N/A,Describes something recently made or not existing before,N/A,Compro un libro nuovo per il corso di italiano all'università.,I buy a new book for the Italian course at the university.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,324969632625
o,or,conjunction,/o/,N/A,Used to present alternatives or choices,oppure,Vuoi bere un caffè o un cappuccino al bar con me?,Do you want to drink a coffee or a cappuccino at the bar with me?,Common Words,Italian::A1::Vocab::Common Words,536995933597,320951860373
occhiali,glasses; eyeglasses,noun,/okˈkjali/,masculine plural,Lenses worn on the face to improve vision,N/A,Metto gli occhiali per leggere il giornale e il libro a casa.,I put on glasses to read the newspaper and the book at home.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,931000484273
occhio,eye,noun,/ˈɔkkjo/,masculine,The organ of sight on the face,N/A,La bambina ha gli occhi azzurri e i capelli biondi e lunghi.,The girl has blue eyes and long blond hair.,Body,Italian::A1::Vocab::Body,315135916940,554696951752
oggi,today,adverb,/ˈɔddʒi/,N/A,On this present day,N/A,Oggi fa caldo e voglio andare al mare con la famiglia.,Today it is hot and I want to go to the sea with the family.,Time,Italian::A1::Vocab::Time,781073502550,46796055544
ogni,every; each,adjective,/ˈoɲɲi/,N/A,Refers to all members of a group without exception,ciascuno,Ogni mattina bevo un caffè al bar prima di andare al lavoro.,Every morning I drink a coffee at the bar before going to work.,Common Words,Italian::A1::Vocab::Common Words,536995933597,946927545866
ora,now; hour,noun,/ˈora/,feminine,The current time; also a unit of sixty minutes,adesso,Che ora è? Sono le nove e devo andare alla lezione adesso.,What time is it? It is nine and I must go to the lesson now.,Time,Italian::A1::Vocab::Time,781073502550,273859222830
orecchio,ear,noun,/oˈrekkjo/,masculine,The organ of hearing on the side of the head,N/A,Ascolto la musica con le orecchie e mi piace molto cantare.,I listen to music with my ears and I like to sing a lot.,Body,Italian::A1::Vocab::Body,315135916940,1058547320753
orologio,watch; clock,noun,/oroˈlɔdʒo/,masculine,A device that shows the time,N/A,Guardo l'orologio e sono le dodici: è ora di pranzare adesso.,I look at the watch and it is twelve: it is time to have lunch now.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,541732707156
ospedale,hospital,noun,/ospeˈdale/,masculine,A building where sick or injured people receive medical care,N/A,Il dottore lavora all'ospedale e aiuta la gente malata ogni giorno.,The doctor works at the hospital and helps sick people every day.,Places,Italian::A1::Vocab::Places,439811229925,792996610008
otto,eight,numeral,/ˈɔtto/,N/A,The number eight,N/A,La lezione comincia alle otto di mattina e finisce alle dieci.,The lesson starts at eight in the morning and finishes at ten.,Numbers,Italian::A1::Vocab::Numbers,381389947441,880420500591
ottobre,October,noun,/otˈtobre/,masculine,The tenth month of the year; an autumn month,N/A,In ottobre le foglie cambiano colore e cadono dagli alberi nel parco.,In October the leaves change color and fall from the trees in the park.,Time,Italian::A1::Vocab::Time,781073502550,534907299682
padre,father,noun,/ˈpadre/,masculine,A male parent,papà,Mio padre lavora in ufficio e torna a casa ogni sera.,My father works in the office and comes home every evening.,People,Italian::A1::Vocab::People,1054905778847,213971716409
pagina,page,noun,/ˈpadʒina/,feminine,One side of a sheet of paper in a book or notebook,N/A,Apro il libro alla pagina cinque e comincio a leggere la lezione.,I open the book to page five and start to read the lesson.,Education,Italian::A1::Vocab::Education,307004269861,638379726539
paio,pair,noun,/ˈpajo/,masculine,A set of two matching things,N/A,Compro un paio di scarpe nuove marrone per andare al lavoro.,I buy a pair of new brown shoes to go to work.,Common Words,Italian::A1::Vocab::Common Words,536995933597,493815161348
palla,ball,noun,/ˈpalla/,feminine,A round object used in sports and games,N/A,Il bambino gioca con la palla nel parco con gli amici ogni giorno.,The child plays with the ball in the park with friends every day.,Sports,Italian::A1::Vocab::Sports,616396548408,56765179710
pane,bread,noun,/ˈpane/,masculine,A baked food made from flour and water,N/A,Compro il pane fresco al negozio ogni mattina per la colazione.,I buy fresh bread at the shop every morning for breakfast.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,901586628801
panino,sandwich,noun,/paˈnino/,masculine,"Bread filled with meat, cheese, or other ingredients",N/A,Mangio un panino con formaggio e prosciutto al bar per pranzo.,I eat a sandwich with cheese and ham at the bar for lunch.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,10272469418
pantaloni,trousers; pants,noun,/pantaˈloni/,masculine plural,A piece of clothing covering both legs,N/A,Indosso i pantaloni neri e una camicia bianca per andare al lavoro.,I wear black trousers and a white shirt to go to work.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,22265117219
papà,dad,noun,/paˈpa/,masculine,An informal word for father,padre,Il papà gioca a calcio con il figlio nel parco ogni sabato.,Dad plays soccer with his son in the park every Saturday.,People,Italian::A1::Vocab::People,1054905778847,404698651183
parcheggio,parking lot; parking,noun,/parˈkeddʒo/,masculine,A place where cars are parked,N/A,Parcheggio l'auto nel parcheggio vicino all'albergo in centro città.,I park the car in the parking lot near the hotel downtown.,Places,Italian::A1::Vocab::Places,439811229925,82635983540
parco,park,noun,/ˈparko/,masculine,A public green area for recreation and relaxation,giardino pubblico,I bambini giocano nel parco sull'erba verde con il cane ogni giorno.,The children play in the park on the green grass with the dog every day.,Places,Italian::A1::Vocab::Places,439811229925,992413888398
parola,word,noun,/paˈrɔla/,feminine,A unit of language with meaning,termine; vocabolo,Imparo una parola nuova in italiano ogni giorno con il dizionario.,I learn a new word in Italian every day with the dictionary.,Education,Italian::A1::Vocab::Education,307004269861,339777906994
parte,part; side,noun,/ˈparte/,feminine,A piece or section of something larger,pezzo; porzione,La prima parte del libro è facile ma la fine è difficile.,The first part of the book is easy but the end is difficult.,Common Words,Italian::A1::Vocab::Common Words,536995933597,1016301222910
Pasqua,Easter,noun,/ˈpaskwa/,feminine,A Christian holiday celebrating the resurrection,N/A,A Pasqua la famiglia mangia insieme e i bambini cercano le uova.,At Easter the family eats together and the children look for eggs.,Time,Italian::A1::Vocab::Time,781073502550,1005844806055
pasta,pasta,noun,/ˈpasta/,feminine,An Italian food made from flour and water in various shapes,N/A,La pasta con il formaggio è il mio cibo preferito per la cena.,Pasta with cheese is my favorite food for dinner.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,189191902824
patata,potato,noun,/paˈtata/,feminine,A starchy vegetable grown underground,N/A,Cucino le patate con la carne per la cena della famiglia stasera.,I cook potatoes with meat for the family dinner tonight.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,596574861056
pecora,sheep,noun,/ˈpekora/,feminine,A farm animal with wool used for clothing,N/A,La pecora vive nella fattoria in montagna con le altre mucche.,The sheep lives on the farm in the mountain with the other cows.,Animals,Italian::A1::Vocab::Animals,209387501967,1035108744000
penna,pen,noun,/ˈpenna/,feminine,A writing tool that uses ink,N/A,Scrivo una lettera con la penna sulla carta per il mio amico.,I write a letter with the pen on paper for my friend.,Education,Italian::A1::Vocab::Education,307004269861,47128119458
per favore,please,interjection,/per faˈvore/,N/A,A polite expression used when asking for something,per piacere,Un caffè per favore! Grazie signora lei è molto gentile.,A coffee please! Thank you ma'am you are very kind.,Greetings,Italian::A1::Vocab::Greetings,1034816950214,200464538835
perché,why; because,conjunction,/perˈke/,N/A,Used to ask the reason or to give an explanation,N/A,Perché studi l'italiano? Perché voglio parlare con la gente in Italia.,Why do you study Italian? Because I want to speak with people in Italy.,Common Words,Italian::A1::Vocab::Common Words,536995933597,20844246677
persona,person,noun,/perˈsona/,feminine,An individual human being,individuo,Ogni persona è diversa e ha un nome e un cognome.,Every person is different and has a first name and a surname.,People,Italian::A1::Vocab::People,1054905778847,277445476176
pesce,fish,noun,/ˈpeʃʃe/,masculine,An animal that lives in water; also a food,N/A,Mangio il pesce fresco al ristorante vicino al mare in estate.,I eat fresh fish at the restaurant near the sea in summer.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,431627386096
piano,floor; slowly,noun,/ˈpjano/,masculine,A level of a building; also means slowly or quietly,N/A,Abito al secondo piano e prendo le scale per salire ogni giorno.,I live on the second floor and take the stairs to go up every day.,Home,Italian::A1::Vocab::Home,692027528045,681236648609
pianta,plant,noun,/ˈpjanta/,feminine,A living organism that grows in soil,N/A,La pianta verde è bella e cresce vicino alla finestra della cucina.,The green plant is beautiful and grows near the kitchen window.,Nature,Italian::A1::Vocab::Nature,674825577948,874023994889
piatto,plate; dish,noun,/ˈpjatto/,masculine,A flat container for serving food,N/A,Il cameriere porta un piatto di pasta buona al tavolo del ristorante.,The waiter brings a plate of good pasta to the restaurant table.,Home,Italian::A1::Vocab::Home,692027528045,317737277240
piatto,flat,adjective,/ˈpjatto/,N/A,Describes a surface that is level and smooth,N/A,La strada è piatta e facile per camminare o guidare la bicicletta.,The road is flat and easy for walking or riding the bicycle.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,317737277240
piccolo,small; little,adjective,/ˈpikkolo/,N/A,Describes something of small size; opposite of 'grande',N/A,Il bambino è piccolo e gioca con il gatto nel giardino di casa.,The child is small and plays with the cat in the house garden.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,782153325241
picnic,picnic,noun,/ˈpiknik/,masculine,An outdoor meal eaten in a park or countryside,N/A,Facciamo un picnic nel parco sull'erba e mangiamo i panini insieme.,We have a picnic in the park on the grass and eat sandwiches together.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,1059813320025
piede,foot,noun,/ˈpjɛde/,masculine,The body part at the end of the leg used for walking,N/A,Cammino a piedi nel parco perché non ho la bicicletta oggi.,I walk on foot in the park because I don't have the bicycle today.,Body,Italian::A1::Vocab::Body,315135916940,517372932526
pioggia,rain,noun,/ˈpjɔddʒa/,feminine,Water that falls from clouds in the sky,N/A,La pioggia cade forte in aprile e non posso uscire fuori.,The rain falls hard in April and I cannot go outside.,Nature,Italian::A1::Vocab::Nature,674825577948,1028840369630
piscina,swimming pool,noun,/piˈʃʃina/,feminine,A place with water for swimming,N/A,In estate nuotiamo nella piscina grande vicino all'hotel ogni giorno.,In summer we swim in the big pool near the hotel every day.,Places,Italian::A1::Vocab::Places,439811229925,44714384431
pizza,pizza,noun,/ˈpittsa/,feminine,"A flat Italian food with tomato, cheese, and toppings",N/A,Mangiamo la pizza con il formaggio alla pizzeria con gli amici stasera.,We eat pizza with cheese at the pizzeria with friends tonight.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,943747838550
pizzeria,pizzeria,noun,/pittseriˈa/,feminine,A restaurant that specializes in making and serving pizza,N/A,La pizzeria è famosa e molta gente viene per mangiare qui ogni sera.,The pizzeria is famous and many people come to eat here every evening.,Places,Italian::A1::Vocab::Places,439811229925,772390686316
pomeriggio,afternoon,noun,/pomeˈriddʒo/,masculine,The part of the day between noon and evening,N/A,Il pomeriggio studio a casa e poi esco a camminare nel parco.,In the afternoon I study at home and then go out walking in the park.,Time,Italian::A1::Vocab::Time,781073502550,364318496861
pomodoro,tomato,noun,/pomoˈdɔro/,masculine,"A red fruit used in Italian cooking, especially sauces",N/A,Metto il pomodoro sulla pizza e sulla pasta per la cena.,I put tomato on the pizza and on the pasta for dinner.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,1019059800061
porta,door,noun,/ˈpɔrta/,feminine,A movable barrier for entering or leaving a room or building,N/A,Apro la porta della casa e il cane entra dentro dal giardino.,I open the door of the house and the dog comes inside from the garden.,Home,Italian::A1::Vocab::Home,692027528045,331303173369
possibile,possible,adjective,/posˈsibile/,N/A,Describes something that can be done or can happen,N/A,È possibile imparare l'italiano bene se studi ogni giorno con amore.,It is possible to learn Italian well if you study every day with love.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,649111430335
posto,place; seat,noun,/ˈposto/,masculine,"A location or a seat in a theater, bus, etc.",luogo,Cerco un posto libero sull'autobus per sedermi e leggere il giornale.,I look for a free seat on the bus to sit and read the newspaper.,Common Words,Italian::A1::Vocab::Common Words,536995933597,379856339142
povero,poor,adjective,/ˈpɔvero/,N/A,Describes someone with little money; opposite of 'ricco',N/A,L'uomo è povero ma è felice e ha una famiglia bella e grande.,The man is poor but he is happy and has a beautiful big family.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,193192893208
pranzo,lunch,noun,/ˈprantso/,masculine,The midday meal,N/A,Per pranzo mangio un panino con formaggio al bar vicino al lavoro.,For lunch I eat a sandwich with cheese at the bar near work.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,471396488896
preferito,favorite,adjective,/prefeˈrito/,N/A,Describes something liked above all others,N/A,Il mio colore preferito è l'azzurro come il cielo in estate.,My favorite color is light blue like the sky in summer.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,383205144372
prego,you're welcome,interjection,/ˈprɛɡo/,N/A,A polite reply to 'grazie'; also means 'please go ahead',N/A,Grazie per l'aiuto! Prego è stato un piacere aiutare te.,Thank you for the help! You're welcome it was a pleasure to help you.,Greetings,Italian::A1::Vocab::Greetings,1034816950214,787453369417
presto,early; soon; quickly,adverb,/ˈprɛsto/,N/A,Indicates something happening soon or at an early time,N/A,Mi sveglio presto ogni mattina e faccio colazione prima del lavoro.,I wake up early every morning and have breakfast before work.,Time,Italian::A1::Vocab::Time,781073502550,1001965591805
prima,before; first,adverb,/ˈprima/,N/A,Indicates something happening earlier in time,N/A,Prima studio l'italiano e dopo vado al cinema con l'amico stasera.,First I study Italian and then I go to the cinema with my friend tonight.,Common Words,Italian::A1::Vocab::Common Words,536995933597,82532721484
primavera,spring,noun,/primaˈvera/,feminine,The season between winter and summer; flowers bloom,N/A,In primavera i fiori crescono nel giardino e il tempo è bello.,In spring the flowers grow in the garden and the weather is nice.,Time,Italian::A1::Vocab::Time,781073502550,654248496764
